#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
99	-135467	-126000	-130305	-146236	-141910	-125231	-120907	-127020	-127804	-124764
100	-135275	-126176	-130435	-146424	-142142	-125317	-120986	-127148	-127815	-124503
101	-135064	-126239	-130305	-146695	-142132	-125399	-120932	-127169	-128010	-124601
102	-134967	-126336	-130335	-146883	-142140	-125343	-120934	-127290	-128023	-124603
103	-134787	-126297	-130376	-147091	-142112	-125466	-120795	-127227	-128017	-124569
104	-134534	-126325	-130438	-147232	-141998	-125192	-120650	-127100	-127806	-124410
105	-134382	-126310	-130554	-147161	-141768	-125144	-120558	-127027	-127830	-124251
106	-134430	-126372	-130668	-147097	-141706	-125094	-120496	-126951	-127682	-124108
107	-134433	-126283	-130625	-146989	-141702	-125141	-120414	-126958	-127630	-124004
108	-134438	-126430	-130534	-146817	-141760	-125061	-120295	-126996	-127426	-124002
109	-134257	-126442	-130357	-146556	-142018	-125195	-120494	-127020	-127376	-123939
110	-134143	-126462	-130280	-146289	-141998	-124959	-120674	-127024	-127304	-123746
111	-134004	-126524	-130156	-146139	-142205	-124866	-120570	-127109	-127281	-123931
112	-133801	-126575	-130161	-145987	-142290	-124707	-120647	-127252	-127259	-123844
113	-133665	-126609	-130252	-145844	-142409	-124655	-120930	-127294	-127457	-123730
114	-133571	-126393	-130463	-145777	-142281	-124414	-120935	-127157	-127545	-123750
115	-133418	-126215	-130570	-145766	-142235	-124324	-120896	-127184	-127676	-123874
116	-133158	-126058	-130749	-145747	-142170	-124171	-120961	-127268	-127801	-123890
117	-133114	-125950	-130775	-145545	-142168	-124075	-120857	-127325	-128062	-123762
118	-133178	-125981	-130777	-145369	-142066	-124104	-121016	-127405	-128175	-123706
119	-133186	-125984	-130957	-145397	-142251	-124120	-121099	-127237	-128166	-123657
120	-133177	-125920	-130820	-145589	-142385	-124035	-121064	-127123	-128230	-123536
121	-133061	-125743	-130693	-145525	-142376	-124259	-121000	-127173	-128442	-123521
122	-132951	-125754	-130709	-145459	-142403	-124156	-121069	-127292	-128457	-123393
123	-132857	-125643	-130646	-145434	-142300	-124054	-120953	-127326	-128283	-123510
124	-132869	-125694	-130589	-145315	-142067	-123861	-120943	-127259	-128037	-123584
125	-132865	-125878	-130334	-145400	-141886	-123843	-121138	-127162	-128012	-123771
126	-132908	-125926	-130288	-145396	-141589	-123544	-121205	-127153	-128098	-124020
127	-132796	-125946	-130241	-145236	-141333	-123432	-121183	-127035	-128027	-124168
128	-132937	-125809	-129922	-145173	-141149	-123248	-121206	-126637	-128000	-124291
129	-132889	-125551	-129929	-145125	-141051	-123129	-121112	-126569	-127972	-124300
130	-133090	-125479	-129752	-145261	-141088	-123022	-121092	-126532	-127921	-124366
131	-133080	-125564	-129412	-145432	-141102	-122981	-120938	-126546	-127911	-124363
132	-133024	-125987	-129320	-145384	-141174	-122959	-120838	-126656	-127973	-124274
133	-133120	-126214	-129429	-145573	-141047	-122797	-120648	-126921	-127959	-124178
134	-133052	-126240	-129359	-145523	-140781	-122886	-120580	-127164	-128098	-124348
135	-133171	-126383	-129511	-145480	-140442	-122732	-120615	-127289	-128200	-124478
